"Application","Apple ID Number","Device Identifier","IP Address","Logged In Date","Signon Status","StoreFront Name"
"FaceTime","20393913896","","2603:7000:e600:dd4:ac27:b5f6:3613:9fd4","2025-08-19T06:05:11.000Z","0",""
"iCloud Account Services","20393913896","","2603:7000:e600:dd4:ac27:b5f6:3613:9fd4","2025-08-19T06:05:11.000Z","0",""
"Game Center","20393913896","","2603:7000:e600:dd4:ac27:b5f6:3613:9fd4","2025-08-19T06:05:13.000Z","0",""
"iCloud Account Services","20393913896","","2603:7000:e600:dd4:ac27:b5f6:3613:9fd4","2025-08-19T06:05:14.000Z","0",""
"FaceTime","20393913896","","207.38.207.146","2025-08-11T23:31:03.000Z","0",""
"iCloud Account Services","20393913896","","207.38.207.146","2025-08-11T23:31:03.000Z","0",""
"iCloud Account Services","20393913896","","207.38.207.146","2025-08-11T23:31:04.000Z","0",""
"Game Center","20393913896","","207.38.207.146","2025-08-11T23:31:03.000Z","0",""
"FaceTime","20393913896","","2603:7000:e600:dd4:ac6d:2bb0:b179:91c","2025-08-04T08:55:58.000Z","0",""
"iCloud Account Services","20393913896","","2603:7000:e600:dd4:ac6d:2bb0:b179:91c","2025-08-04T08:55:58.000Z","0",""
"Game Center","20393913896","","2603:7000:e600:dd4:ac6d:2bb0:b179:91c","2025-08-04T08:55:58.000Z","0",""
"iCloud Account Services","20393913896","","2603:7000:e600:dd4:ac6d:2bb0:b179:91c","2025-08-04T08:56:00.000Z","0",""
"iTunes Music Store","20393913896","00008120-0001391921F8201E","24.164.136.17","2025-07-28T02:39:49.000Z","0","United States"
"iTunes Music Store","20393913896","","100.84.14.95","2025-07-24T14:07:12.000Z","0","StoreFront Not found"
"iCloud Account Services","20393913896","","2603:7000:e600:dd4:9562:b4f5:2164:6195","2025-07-21T08:33:08.000Z","0",""
"FaceTime","20393913896","","2603:7000:e600:dd4:9562:b4f5:2164:6195","2025-07-21T08:33:06.000Z","0",""
"iTunes Music Store","20393913896","00008120-0001391921F8201E","172.56.194.207","2025-07-24T04:02:56.000Z","0","United States"
"iCloud Account Services","20393913896","","2603:7000:e600:dd4:9562:b4f5:2164:6195","2025-07-21T08:33:06.000Z","0",""
"Game Center","20393913896","","2603:7000:e600:dd4:9562:b4f5:2164:6195","2025-07-21T08:33:06.000Z","0",""
"iTunes Music Store","20393913896","00008120-0001391921F8201E","149.31.133.112","2025-07-13T02:32:20.000Z","0","United States"
"Game Center","20393913896","","2603:7000:e600:dd4:acad:1f6e:e59b:eff3","2025-07-06T08:18:48.000Z","0",""
"FaceTime","20393913896","","2603:7000:e600:dd4:acad:1f6e:e59b:eff3","2025-07-06T08:18:48.000Z","0",""
"iCloud Account Services","20393913896","","2603:7000:e600:dd4:acad:1f6e:e59b:eff3","2025-07-06T08:18:50.000Z","0",""
"iCloud Account Services","20393913896","","2603:7000:e600:dd4:acad:1f6e:e59b:eff3","2025-07-06T08:18:48.000Z","0",""
"iCloud Account Services","20393913896","","2603:7000:e600:dd4:acad:1f6e:e59b:eff3","2025-07-06T08:18:49.000Z","0",""
"iCloud Account Services","20393913896","","172.56.166.24","2025-06-22T16:21:54.000Z","0",""
"iCloud Account Services","20393913896","","172.56.166.24","2025-06-22T16:22:16.000Z","0",""
"Game Center","20393913896","","172.56.166.24","2025-06-22T16:21:54.000Z","0",""
"iCloud Account Services","20393913896","","2607:fb91:2190:210:c1a5:3800:8032:d9f8","2025-06-22T07:19:18.000Z","0",""
