"Favorite Type","Item Reference","Item Description","Last Modified",Preference
Artist,570372593,"Zara Larsson",2026-03-10T06:03:22Z,LIKE
Artist,1540251304,aespa,2026-01-16T01:30:35Z,LIKE
Artist,1446365464,"Tate McRae",2026-01-16T01:02:16Z,LIKE
Artist,390647681,"Sabrina Carpenter",2026-01-16T01:01:56Z,LIKE
Artist,824434533,Bleachers,2024-12-31T07:02:07Z,LIKE
Artist,602767352,Lorde,2024-12-31T07:01:53Z,LIKE
Artist,979458609,"Olivia Rodrigo",2024-12-31T07:01:43Z,LIKE
Artist,159260351,"Taylor Swift",2024-12-31T07:01:27Z,LIKE
Song,1817499892,"Zara Larsson - The Ambition",2026-03-17T20:29:44Z,LIKE
Song,1817499517,"Zara Larsson - Eurosummer",2026-03-17T20:29:41Z,LIKE
Song,1817499525,"Zara Larsson - Hot & Sexy",2026-03-17T20:29:39Z,LIKE
Song,1817499515,"Zara Larsson - Crush",2026-03-16T13:00:40Z,LIKE
Song,1862550854,"Sabrina Carpenter - When Did You Get Hot?",2026-03-14T19:48:58.019Z,NEUTRAL
Song,1862550601,"Sabrina Carpenter - Sugar Talking",2026-03-14T19:48:58.015Z,NEUTRAL
Song,1862550595,"Sabrina Carpenter - Tears",2026-03-14T19:44:21.512Z,NEUTRAL
Song,1689131532,"Taylor Swift - Maroon",2026-03-14T14:12:27Z,LIKE
Song,1689131956,"Taylor Swift - You're On Your Own, Kid",2026-03-11T12:37:46Z,LIKE
Song,1845403829,"Gracie Abrams - Where do we go now? (Apple Music Live)",2026-03-09T04:10:16Z,LIKE
Song,1845404112,"Gracie Abrams - us. (Apple Music Live)",2026-03-09T00:01:06.920Z,NEUTRAL
Song,1742074192,"Taylor Swift - My Boy Only Breaks His Favorite Toys",2026-03-08T23:29:29Z,LIKE
Song,1845404104,"Gracie Abrams - Mess It Up (Apple Music Live)",2026-03-07T18:58:06Z,LIKE
Song,1786643056,"SZA - Crybaby",2026-03-05T08:45:10Z,LIKE
Song,1845404113,"Gracie Abrams - That’s So True (Apple Music Live)",2026-03-04T23:57:09Z,LIKE
Song,1845403814,"Gracie Abrams - Intro & Risk (Apple Music Live)",2026-03-04T05:35:54.938Z,NEUTRAL
Song,1838810961,"Taylor Swift - CANCELLED!",2026-03-02T23:15:03Z,LIKE
Song,1845404108,"Gracie Abrams - Let It Happen (Apple Music Live)",2026-03-02T20:49:48Z,LIKE
Song,1845403831,"Gracie Abrams - Death Wish (Apple Music Live)",2026-03-02T02:51:39Z,LIKE
Song,1440832876,"JAŸ-Z & Kanye West - No Church In the Wild (feat. Frank Ocean & The-Dream)",2026-03-01T00:37:27.145Z,DISLIKE
Song,1440833218,"Lana Del Rey - Young and Beautiful (DH Orchestral Version)",2026-02-24T19:31:09Z,NEUTRAL
Song,1544268361,"Taylor Swift - marjorie",2026-02-24T01:24:06Z,LIKE
Song,1673805199,"Ed Sheeran - Curtains",2026-02-23T08:12:08.241Z,NEUTRAL
Song,1436646795,"Phoebe Bridgers - Funeral",2026-02-22T16:30:31.261Z,NEUTRAL
Song,1664288817,"Gracie Abrams - Will you cry?",2026-02-22T15:38:24.930Z,NEUTRAL
Song,1595423407,"Taylor Swift - Forever Winter (Taylor's Version) (From The Vault)",2026-02-22T14:54:27Z,LIKE
Song,887521564,"Michelle Duffy, Rachel Flynn, Dustin Sullivan, Charissa Hogeland & AJ Meijer - Shine a Light",2026-02-22T03:15:05Z,NEUTRAL
Song,887521310,"Katie Ladner, Alice Lee, Jessica Keenan Wynn, Barrett Wilbert Weed & Elle McLemore - Beautiful",2026-02-22T03:15:03Z,NEUTRAL
Song,887521674,"Michelle Duffy, Daniel Cooney, Barrett Wilbert Weed, Elle McLemore & Ryan McCartan - Dead Girl Walking (Reprise)",2026-02-22T03:15:03Z,NEUTRAL
Song,887521643,"Katie Ladner - Kindergarten Boyfriend",2026-02-22T03:15:02Z,NEUTRAL
Song,887521526,"Jessica Keenan Wynn, Daniel Cooney, Dan Domenech, Michelle Duffy & AJ Meijer - The Me Inside of Me",2026-02-22T03:15:01Z,NEUTRAL
Song,887521645,"Jessica Keenan Wynn, Evan Todd, Michelle Duffy, Barrett Wilbert Weed & Jon Eidson - Yo Girl",2026-02-22T03:15:01Z,NEUTRAL
Song,887521354,"Jessica Keenan Wynn, Alice Lee & Elle McLemore - Candy Store",2026-02-22T03:15:00Z,NEUTRAL
Song,887521584,"Elle McLemore - Lifeboat",2026-02-22T03:14:59Z,NEUTRAL
Song,887521561,"Barrett Wilbert Weed & Ryan McCartan - Seventeen",2026-02-22T03:14:58Z,NEUTRAL
Song,887521804,"Barrett Wilbert Weed & Ryan McCartan - I Am Damaged",2026-02-22T03:14:58Z,NEUTRAL
