Country,"Track Identifier","Media type","Date Played",Hours,"Play Duration Milliseconds","End Reason Type","Source Type","Play Count","Skip Count","Ignore For Recommendations","Track Reference","Track Description"
"United States",1786682877,AUDIO,20241231,"7, 19",730099,TRACK_SKIPPED_FORWARDS,"IPHONE, MACINTOSH",3,3,false,1786682877,"Bleachers - Merry Christmas, Please Don't Call (Live at NYU Skirball - New York City - 12.17.2024)"
"United States",1440933517,AUDIO,20241231,"7, 19",203091,TRACK_SKIPPED_FORWARDS,"IPHONE, MACINTOSH",1,1,false,N/A,"Taylor Swift - Blank Space"
"United States",1784301566,AUDIO,20241231,19,126000,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1784301566,"Charli xcx & Billie Eilish - Guess featuring Billie Eilish (PEEKABOO Remix) [Mixed]"
"United States",1698554079,AUDIO,20241231,7,76806,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,1,1,false,1698554079,"AGNEZ MO - Things Will Get Better"
"United States",299701862,AUDIO,20241231,19,63054,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",MACINTOSH,1,1,false,N/A,"Bruce Springsteen - Santa Claus Is Comin' to Town (Live at C.W. Post College, Greenvale, NY - December 1975)"
"United States",1784301567,AUDIO,20241231,19,56856,OTHER,IPHONE,1,0,false,1784301567,"Julia Church, John Summit & Sub Focus - Go Back (Kyle Watson Remix) [Mixed]"
"United States",1769668695,AUDIO,20241231,7,39643,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,false,N/A,"Ben Hemsley - Tidal (feat. Rose Gray)"
"United States",1600864185,AUDIO,20241231,7,36088,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,1,1,false,N/A,"Maia Friedman - First to Love"
"United States",1690840121,AUDIO,20241231,19,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,N/A,"Taylor Swift - Back To December (Taylor's Version)"
"United States",1440935841,AUDIO,20241231,19,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,N/A,"Taylor Swift - Enchanted"
"United States",1728501027,AUDIO,20241231,19,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,N/A,"Noah Kahan - Stick Season"
"United States",1775877096,AUDIO,20241231,7,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1775877096,"Bleachers - Merry Christmas, Please Don't Call"
"United States",1698554079,AUDIO,20241231,19,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",MACINTOSH,0,1,false,N/A,"AGNEZ MO - Things Will Get Better"
"United States",1582277653,AUDIO,20241231,19,0,TRACK_SKIPPED_FORWARDS,MACINTOSH,0,1,false,N/A,"Olivia Rodrigo - enough for you"
"United States",884282120,AUDIO,20241231,19,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,N/A,"Bleachers - Rollercoaster"
"United States",1742075220,AUDIO,20241231,19,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,N/A,"Taylor Swift - The Albatross"
"United States",1579632803,AUDIO,20241231,19,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,N/A,"Teddy Adhitya - Langit Favoritku"
"United States",1680069571,AUDIO,20250101,"0, 1, 15, 19",745032,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,4,3,false,1680069571,"Gracie Abrams - I know it won't work (Live)"
"United States",1225759939,AUDIO,20250101,"7, 23",400984,NATURAL_END_OF_TRACK,IPHONE,2,1,false,1225759939,"Bleachers - Don't Take the Money"
"United States",1742058100,AUDIO,20250101,20,334084,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1742058100,"Taylor Swift - Who’s Afraid of Little Old Me?"
"United States",1552791228,AUDIO,20250101,"4, 7",296857,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,2,1,false,1552791228,"Taylor Swift - Fearless (Taylor’s Version)"
"United States",1712730492,AUDIO,20250101,"8, 23",269813,NATURAL_END_OF_TRACK,IPHONE,1,1,false,1712730492,"Bleachers - Tiny Moves"
"United States",1590368740,AUDIO,20250101,16,246687,NATURAL_END_OF_TRACK,MACINTOSH,1,0,false,1590368740,"Taylor Swift - Everything Has Changed (Taylor's Version) [feat. Ed Sheeran]"
"United States",1698554079,AUDIO,20250101,7,245000,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1698554079,"AGNEZ MO - Things Will Get Better"
"United States",1590368737,AUDIO,20250101,16,241770,NATURAL_END_OF_TRACK,MACINTOSH,1,0,false,1590368737,"Taylor Swift - The Lucky One (Taylor's Version)"
"United States",1225759940,AUDIO,20250101,"8, 23",235257,NATURAL_END_OF_TRACK,IPHONE,1,1,false,1225759940,"Bleachers - Everybody Lost Somebody"
"United States",1468058180,AUDIO,20250101,"3, 15",234000,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,1468058180,"Taylor Swift - Miss Americana & The Heartbreak Prince"
"United States",1715759492,AUDIO,20250101,3,229614,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1715759492,"Taylor Swift - Cruel Summer (Live from TS  The Eras Tour)"
"United States",1702583449,AUDIO,20250101,23,223100,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1702583449,"Bleachers - Modern Girl"
"United States",1590368743,AUDIO,20250101,17,221673,NATURAL_END_OF_TRACK,MACINTOSH,1,0,false,1590368743,"Taylor Swift - Starlight (Taylor's Version)"
"United States",1742058104,AUDIO,20250101,20,218004,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1742058104,"Taylor Swift - I Can Do It With a Broken Heart"
"United States",1742058094,AUDIO,20250101,20,215463,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1742058094,"Taylor Swift - Florida!!! (feat. Florence + the Machine)"
"United States",884282119,AUDIO,20250101,"8, 23",200386,NATURAL_END_OF_TRACK,IPHONE,1,1,false,884282119,"Bleachers - Wild Heart"
"United States",1225759944,AUDIO,20250101,23,185142,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,1,1,false,1225759944,"Bleachers - I Miss Those Days"
