Country,"Container Name","Impression Create Date",Location,"Recommendation ID"
"United States","YUNA - Ice Cream - EP",20260323,FY.Module.TopPicks,"82ed27cf-4522-4ac7-bb70-92f55b1898bb~b73d6af4-93f6-474a-abce-2fd03ec68df2~24~1774302505539"
"United States",N/A,20260323,FY.Module.TopPicks,"82ed27cf-4522-4ac7-bb70-92f55b1898bb~b73d6af4-93f6-474a-abce-2fd03ec68df2~24~1774302505539"
"United States",N/A,20260323,"FUSE.ForYou.Module.Recently.Played","82ed27cf-4522-4ac7-bb70-92f55b1898bb~e0e31aa4-c369-43e5-9d27-5e947d557086~16~1774302505531"
"United States",N/A,20260323,"FUSE.ForYou.Module.Recently.Played","82ed27cf-4522-4ac7-bb70-92f55b1898bb~e0e31aa4-c369-43e5-9d27-5e947d557086~16~1774302505531"
"United States",N/A,20260323,"FUSE.ForYou.Module.Recently.Played","82ed27cf-4522-4ac7-bb70-92f55b1898bb~e0e31aa4-c369-43e5-9d27-5e947d557086~16~1774302505531"
"United States",N/A,20260323,"FUSE.ForYou.Module.Recently.Played","82ed27cf-4522-4ac7-bb70-92f55b1898bb~e0e31aa4-c369-43e5-9d27-5e947d557086~16~1774302505531"
"United States",N/A,20260323,FY.Module.TopPicks,"82ed27cf-4522-4ac7-bb70-92f55b1898bb~b73d6af4-93f6-474a-abce-2fd03ec68df2~24~1774302505539"
"United States",N/A,20260323,FY.Module.TopPicks,"dbaac7c8-22ae-4256-bebc-e7aeb318be5c~8c162998-381e-4916-a2b1-b29cc483f706~24~1774258477481"
"United States",N/A,20260323,,"ddc96ce9-eb19-4668-bacf-b3363b76426f~225f490a-e28d-4731-9b57-d66146f1ba71~16~1774275984559"
"United States",N/A,20260323,,"ddc96ce9-eb19-4668-bacf-b3363b76426f~225f490a-e28d-4731-9b57-d66146f1ba71~16~1774275984559"
"United States",N/A,20260323,,"ddc96ce9-eb19-4668-bacf-b3363b76426f~225f490a-e28d-4731-9b57-d66146f1ba71~16~1774275984559"
"United States",N/A,20260323,FY.Module.TopPicks,"dbaac7c8-22ae-4256-bebc-e7aeb318be5c~8c162998-381e-4916-a2b1-b29cc483f706~24~1774258477481"
"United States","Zara Larsson - Midnight Sun",20260323,FY.Module.TopPicks,"dbaac7c8-22ae-4256-bebc-e7aeb318be5c~8c162998-381e-4916-a2b1-b29cc483f706~24~1774258477481"
"United States",N/A,20260323,,"3fe12191-42f6-41d7-8505-cba9c7475354~eac03db4-57d4-43a4-845a-986c9b27e694~16~1774293436974"
"United States",N/A,20260323,,"ddc96ce9-eb19-4668-bacf-b3363b76426f~225f490a-e28d-4731-9b57-d66146f1ba71~16~1774275984559"
"United States","Taylor Swift - Anti-Hero (feat. Bleachers) - Single",20260323,,"d2c3035a-432d-4a9e-b8b9-d3dfb0212153~69913a81-b395-437f-a846-90b1f1013465~16~1774271694248"
"United States",N/A,20260323,,"d2c3035a-432d-4a9e-b8b9-d3dfb0212153~69913a81-b395-437f-a846-90b1f1013465~16~1774271694248"
"United States",N/A,20260323,,"d2c3035a-432d-4a9e-b8b9-d3dfb0212153~69913a81-b395-437f-a846-90b1f1013465~16~1774271694248"
"United States",N/A,20260323,,"d2c3035a-432d-4a9e-b8b9-d3dfb0212153~69913a81-b395-437f-a846-90b1f1013465~16~1774271694248"
"United States","Taylor Swift - Anti-Hero (feat. Bleachers) - Single",20260323,"FUSE.ForYou.Module.Recently.Played","cd89e0ac-ec8a-4c86-affa-994f385b908a~85027f6f-34f9-4ff0-b44b-6c6d214461c2~16~1774222188841"
"United States",N/A,20260323,FY.Module.TopPicks,"cd89e0ac-ec8a-4c86-affa-994f385b908a~ae203e02-d3dd-4b95-8eef-bed2bda8ae09~24~1774222188856"
"United States",N/A,20260323,"FUSE.ForYou.Module.Recently.Played","cd89e0ac-ec8a-4c86-affa-994f385b908a~85027f6f-34f9-4ff0-b44b-6c6d214461c2~16~1774222188841"
"United States",N/A,20260323,"FUSE.ForYou.Module.Recently.Played","cd89e0ac-ec8a-4c86-affa-994f385b908a~85027f6f-34f9-4ff0-b44b-6c6d214461c2~16~1774222188841"
"United States",N/A,20260323,FY.Module.TopPicks,"cd89e0ac-ec8a-4c86-affa-994f385b908a~ae203e02-d3dd-4b95-8eef-bed2bda8ae09~24~1774222188856"
"United States",N/A,20260323,"FUSE.ForYou.Module.Recently.Played","cd89e0ac-ec8a-4c86-affa-994f385b908a~85027f6f-34f9-4ff0-b44b-6c6d214461c2~16~1774222188841"
"United States","Zara Larsson Radio",20260323,FY.Module.TopPicks,"cd89e0ac-ec8a-4c86-affa-994f385b908a~ae203e02-d3dd-4b95-8eef-bed2bda8ae09~24~1774222188856"
"United States",N/A,20260322,,"cd89e0ac-ec8a-4c86-affa-994f385b908a~8bece4e5-553d-4b20-8783-a48f2f2afeb8~3~1774222188852"
"United States",N/A,20260322,,"cd89e0ac-ec8a-4c86-affa-994f385b908a~8bece4e5-553d-4b20-8783-a48f2f2afeb8~3~1774222188852"
"United States",N/A,20260322,,"cd89e0ac-ec8a-4c86-affa-994f385b908a~8bece4e5-553d-4b20-8783-a48f2f2afeb8~3~1774222188852"
"United States",N/A,20260322,,"cd89e0ac-ec8a-4c86-affa-994f385b908a~8bece4e5-553d-4b20-8783-a48f2f2afeb8~3~1774222188852"
"United States","Taylor Swift - Anti-Hero (feat. Bleachers) - Single",20260322,"FUSE.ForYou.Module.Recently.Played","4be8eca1-b86b-494d-a47b-002766fda8d8~32c0612e-34d1-4158-931c-5a30534346e1~16~1774194698142"
"United States","Paris Paloma - Miyazaki - Single",20260322,FY.Module.TopPicks,"4be8eca1-b86b-494d-a47b-002766fda8d8~2415a9b3-de46-45ba-89ed-74e25af075c5~24~1774194698166"
"United States",N/A,20260322,FY.Module.TopPicks,"4be8eca1-b86b-494d-a47b-002766fda8d8~2415a9b3-de46-45ba-89ed-74e25af075c5~24~1774194698166"
"United States",N/A,20260322,"FUSE.ForYou.Module.Recently.Played","4be8eca1-b86b-494d-a47b-002766fda8d8~32c0612e-34d1-4158-931c-5a30534346e1~16~1774194698142"
"United States",N/A,20260322,"FUSE.ForYou.Module.Recently.Played","4be8eca1-b86b-494d-a47b-002766fda8d8~32c0612e-34d1-4158-931c-5a30534346e1~16~1774194698142"
"United States",N/A,20260322,FY.Module.TopPicks,"4be8eca1-b86b-494d-a47b-002766fda8d8~2415a9b3-de46-45ba-89ed-74e25af075c5~24~1774194698166"
"United States",N/A,20260322,"FUSE.ForYou.Module.Recently.Played","4be8eca1-b86b-494d-a47b-002766fda8d8~32c0612e-34d1-4158-931c-5a30534346e1~16~1774194698142"
"United States",N/A,20260322,FY.Module.MadeForYou,"26238703-ab6f-44b3-a003-f87346a0f3c2~afcc3539-7b30-4c79-835e-9d1d3a6c0057~14~1774154353111"
"United States",N/A,20260322,FY.Module.MadeForYou,"26238703-ab6f-44b3-a003-f87346a0f3c2~afcc3539-7b30-4c79-835e-9d1d3a6c0057~14~1774154353111"
