"Total Plays","Last Plays in Sequence","Entry Creation Date","Entry Modification Date","Container Type","Container Description","Track Description","Ignore for recommendations",Country,"Container Reference","Track Reference"
1259,1,2026-03-23T22:57:52.805Z,2026-03-23T22:57:53.273Z,Playlist,N/A,N/A,false,"United States","pl.pm-01ed408c735a7f33840ff8e1e2e3a28a",N/A
103,1,2026-03-23T22:47:02.047Z,2026-03-23T22:47:02.176Z,Album,"Ed Sheeran - - (Deluxe)",N/A,false,"United States",1673804537,N/A
75,1,2026-03-23T14:26:23.911Z,2026-03-23T14:26:23.934Z,Album,"Paris Paloma - Miyazaki - Single",N/A,false,"United States",1879636239,N/A
103,1,2026-03-23T14:22:47.902Z,2026-03-23T14:22:48.177Z,Album,"Harry Styles - Kiss All The Time. Disco, Occasionally.",N/A,false,"United States",1870984032,N/A
4,1,2026-03-22T06:34:35.772Z,2026-03-22T06:34:36.029Z,Album,"Taylor Swift - Anti-Hero (feat. Bleachers) - Single",N/A,false,"United States",1653491121,N/A
2,1,2026-03-22T03:47:53.205Z,2026-03-22T03:47:53.216Z,Album,"Bleachers - Bleachers",N/A,false,"United States",1712730224,N/A
8,1,2026-03-22T03:47:45.893Z,2026-03-22T03:47:45.916Z,Album,"Gracie Abrams - The Secret of Us (Deluxe)",N/A,false,"United States",1773473685,N/A
10,1,2026-03-22T03:47:22.285Z,2026-03-22T03:47:22.318Z,Album,"Taylor Swift - Lover",N/A,false,"United States",1468058165,N/A
254,1,2026-03-22T03:06:44.486Z,2026-03-22T03:06:44.715Z,Album,"Taylor Swift - The Life of a Showgirl",N/A,false,"United States",1838810949,N/A
306,1,2026-03-21T21:17:19.105Z,2026-03-21T21:17:19.322Z,Album,"Taylor Swift - Midnights (The Til Dawn Edition)",N/A,false,"United States",1689131527,N/A
191,1,2026-03-21T17:44:59.838Z,2026-03-21T17:44:59.914Z,Album,"Zara Larsson - Midnight Sun",N/A,false,"United States",1817499239,N/A
21,1,2026-03-21T16:50:11.859Z,2026-03-21T16:50:11.949Z,Playlist,"stars around my scars",N/A,false,"United States",256003081,N/A
16,1,2026-03-21T08:56:21.329Z,2026-03-21T08:56:23.762Z,Playlist,N/A,N/A,false,"United States","pl.pm-01ed408c735a7f333cdfb88a221bd17c",N/A
27,1,2026-03-20T16:16:32.554Z,2026-03-20T16:16:32.718Z,Album,"Taylor Swift - folklore (deluxe version)",N/A,false,"United States",1528112358,N/A
1,1,2026-03-20T15:24:21.853Z,2026-03-20T15:24:21.878Z,Album,"Taylor Swift - Speak Now (Taylor's Version)",N/A,false,"United States",1690839749,N/A
129,1,2026-03-19T18:43:44.810Z,2026-03-19T18:43:45.051Z,Album,"Various Artists - The Great Gatsby (Music from Baz Luhrmann's Film) [Deluxe Edition]",N/A,false,"United States",1440832062,N/A
536,1,2026-03-18T18:28:55.269Z,2026-03-18T18:28:55.331Z,Album,"Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY",N/A,false,"United States",1742057774,N/A
439,1,2026-03-17T15:48:40.059Z,2026-03-17T15:48:40.434Z,Album,"Gracie Abrams - Apple Music Live: Gracie Abrams",N/A,false,"United States",1845403813,N/A
74,1,2026-03-17T15:17:11.691Z,2026-03-17T15:17:11.722Z,Playlist,pt,N/A,false,"United States",256002833,N/A
