"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2026-03-03T11:31:22.971Z,Album,"Zara Larsson - Midnight Sun","Zara Larsson - Midnight Sun",false,"United States",1817499239,1817499251,"home / playlist_detail",2026-03-03T11:31:22.971Z,PLAYBACK_MANUALLY_PAUSED,2026-03-23T22:58:08.750Z,2026-03-23T22:58:08.829Z,2026-03-23T22:57:52.838Z,189997,190729,189898,AUDIO,0,35,19,4144448
2026-03-13T14:14:37.951Z,Album,"Zara Larsson - Midnight Sun","Zara Larsson - Eurosummer",false,"United States",1817499239,1817499517,"home / playlist_detail",2026-03-13T14:14:37.951Z,NATURAL_END_OF_TRACK,2026-03-23T22:57:53.121Z,2026-03-23T22:57:53.156Z,2026-03-23T22:55:00.032Z,172927,3125067,172864,AUDIO,0,46,10,10899326
2026-03-15T23:44:12.508Z,Album,"Taylor Swift - The Life of a Showgirl","Taylor Swift - Elizabeth Taylor",false,"United States",1838810949,1838810952,"home / playlist_detail",2026-03-15T23:44:12.508Z,TRACK_SKIPPED_FORWARDS,2026-03-23T22:54:59.605Z,2026-03-23T22:54:59.753Z,2026-03-23T22:54:57.952Z,208349,208735,208291,AUDIO,0,13,4,1942736
2026-03-09T18:00:25.888Z,Album,"Harry Styles - Kiss All The Time. Disco, Occasionally.","Harry Styles - Taste Back",false,"United States",1870984032,1870984040,"home / playlist_detail",2026-03-09T18:00:25.888Z,TRACK_SKIPPED_FORWARDS,2026-03-23T22:54:57.783Z,2026-03-23T22:54:56.656Z,2026-03-23T22:54:56.648Z,221706,222088,221653,AUDIO,0,25,10,3824551
2026-03-13T14:01:24.266Z,Album,"Zara Larsson - Midnight Sun","Zara Larsson - Crush",false,"United States",1817499239,1817499515,"home / playlist_detail",2026-03-13T14:01:24.266Z,TRACK_SKIPPED_FORWARDS,2026-03-23T22:54:56.487Z,2026-03-23T22:54:45.385Z,2026-03-23T22:54:45.380Z,177182,177373,177118,AUDIO,0,37,14,5095000
2026-03-13T14:04:21.048Z,Album,"Zara Larsson - Midnight Sun","Zara Larsson - Saturn’s Return",false,"United States",1817499239,1817499894,"home / playlist_detail",2026-03-13T14:04:21.048Z,TRACK_SKIPPED_FORWARDS,2026-03-23T22:54:45.261Z,2026-03-23T22:54:45.385Z,2026-03-23T22:54:42.160Z,227488,227875,227445,AUDIO,0,33,18,4274446
2026-03-15T23:40:28.614Z,Album,"Taylor Swift - The Life of a Showgirl","Taylor Swift - CANCELLED!",false,"United States",1838810949,1838810961,"home / playlist_detail",2026-03-15T23:40:28.614Z,NATURAL_END_OF_TRACK,2026-03-23T22:54:42.247Z,2026-03-23T22:54:42.295Z,2026-03-23T22:51:10.522Z,211542,211726,211000,AUDIO,0,13,3,2411303
2026-03-13T14:17:36.840Z,Album,"Zara Larsson - Midnight Sun","Zara Larsson - Puss Puss",false,"United States",1817499239,1817499901,"home / playlist_detail",2026-03-13T14:17:36.840Z,TRACK_SKIPPED_FORWARDS,2026-03-23T22:51:08.682Z,2026-03-23T22:51:09.026Z,2026-03-23T22:51:03.167Z,228179,228321,228118,AUDIO,0,24,10,3683920
2026-03-17T20:22:25.039Z,Album,"Paris Paloma - Miyazaki - Single","Paris Paloma - Miyazaki",false,"United States",1879636239,1879636424,"home / playlist_detail",2026-03-17T20:22:25.039Z,NATURAL_END_OF_TRACK,2026-03-23T22:51:03.240Z,2026-03-23T22:51:03.277Z,2026-03-23T22:47:38.231Z,204822,205444,204000,AUDIO,0,101,16,20977713
2026-03-23T14:59:26.581Z,Album,"Ed Sheeran - - (Deluxe)","Subtract - Trailer",false,"United States",1673804537,1673805716,"home / album_detail",2026-03-23T14:59:26.581Z,NATURAL_END_OF_TRACK,2026-03-23T22:47:24.384Z,2026-03-23T22:47:02.176Z,2026-03-23T22:47:02.047Z,22000,22368,22000,VIDEO,0,3,0,44351
2026-03-23T14:55:51.478Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - Moving (Bonus Track)",false,"United States",1673804537,1673805713,"home / album_detail",2026-03-23T14:55:51.478Z,NATURAL_END_OF_TRACK,2026-03-23T22:47:02.013Z,2026-03-23T22:46:59.461Z,2026-03-23T22:46:59.311Z,215291,215235,215247,AUDIO,0,4,1,516869
2026-03-23T14:52:17.613Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - Toughest (Bonus Track)",false,"United States",1673804537,1673805709,"home / album_detail",2026-03-23T14:52:17.613Z,NATURAL_END_OF_TRACK,2026-03-23T21:55:51.708Z,2026-03-23T21:55:51.765Z,2026-03-23T21:54:27.620Z,214092,214232,214092,AUDIO,0,3,0,643054
